UID        PID  PPID  C STIME TTY          TIME CMD
cs20181+ 13046     1  0  2020 ?        00:00:00 ssh -N -f -L localhost:8001:localhost:8000 dong1@10.20.12.165
cs20151+ 13252 25048  0  2020 pts/21   00:00:00 -bash
pl20181+ 13344     1  0  2020 ?        00:00:01 vim CBNinterpreter.py
cs20151+ 13362 25048  0  2020 pts/67   00:00:00 -bash
cs20141+ 13689     1  0  2020 ?        00:00:00 vim bits.c
cs20171+ 13815  1468  0  2020 pts/78   00:00:00 -bash
cs20171+ 13861  1468  0  2020 pts/133  00:00:00 -bash
cs20171+ 13915 13861  0  2020 pts/133  00:00:00 vim score.py
hspark   14043     1  0  2020 ?        00:31:55 tmux
hspark   14044 14043  0  2020 pts/110  00:00:00 -bash
root     14092     2  0 08:01 ?        00:00:00 [kworker/0:0]
cse341   14156 21045  0  2020 pts/68   00:00:00 -bash
cs20151+ 14581     1  0  2020 ?        00:00:02 vim
cs20161+ 14588     1  0  2020 pts/116  00:00:00 /bin/bash
hyoje420 14617     1  0  2020 ?        00:01:09 tmux
hyoje420 14618 14617  0  2020 pts/59   00:00:00 -bash
cs20171+ 14877  1468  0  2020 pts/173  00:00:00 -bash
cs20171+ 14917  1468  0  2020 pts/174  00:00:01 -bash
cs20171+ 15149  1468  0  2020 pts/178  00:00:00 -bash
cs20171+ 15416  1468  0  2020 pts/149  00:00:00 -bash
cs20171+ 15457  1468  0  2020 pts/150  00:00:00 -bash
oop2019+ 15856     1  0  2020 pts/170  00:00:00 /bin/bash
cs20181+ 15897     1  0  2020 ?        00:00:00 vim process.c
oop2019+ 15922     1  0  2020 ?        00:15:29 /home1/oop20191253/.vscode-server/extensions/ms-vscode.cpptools-1.1.1/bin/cpptools
root     15957     1  0  2020 ?        00:00:28 /usr/bin/perl ./bomblab-reportd.pl -q
oop2019+ 15999 15922  0  2020 ?        00:03:28 /home1/oop20191253/.vscode-server/extensions/ms-vscode.cpptools-1.1.1/bin/cpptools-srv 15922 2
cs20171+ 16048 15457  0  2020 pts/150  00:00:00 vim grade.sh
cs20171+ 16516  1468  0  2020 pts/152  00:00:00 -bash
root     16644     1  0  2020 ?        00:01:45 /usr/lib/systemd/systemd-journald
root     17064     2  0 09:43 ?        00:00:00 [kworker/7:2]
cs20171+ 17132 31612  0  2020 pts/139  00:00:00 vim to_postfix.h
sieun908 17389     1  0  2020 ?        00:01:11 tmux
sieun908 17435 17389  0  2020 pts/56   00:00:00 -bash
sieun908 17479 17389  0  2020 pts/69   00:00:00 -bash
sieun908 17519 17389  0  2020 pts/73   00:00:00 -bash
sieun908 17562 17389  0  2020 pts/80   00:00:00 -bash
sieun908 17610 17389  0  2020 pts/83   00:00:00 -bash
sieun908 17653 17389  0  2020 pts/87   00:00:00 -bash
sieun908 17701 17389  0  2020 pts/98   00:00:00 -bash
cs20171+ 17744  1468  0  2020 pts/128  00:00:00 -bash
root     17748     2  0 Jan11 ?        00:00:10 [kworker/6:1]
sieun908 17764 17389  0  2020 pts/107  00:00:00 -bash
cs20171+ 17799 17744  0  2020 pts/128  00:00:00 vim grade.sh
sieun908 17810 17389  0  2020 pts/112  00:00:00 -bash
cs20171+ 18022 15149  1  2020 pts/178  1-04:34:11 htop
cs20141+ 18129     1  0  2020 ?        00:02:50 bochs -q
root     18151     2  0 Jan11 ?        00:00:10 [kworker/4:2]
pl20141+ 18178     1  0  2020 ?        00:04:38 ./a.out
cs20131+ 18290     1  0  2020 ?        00:11:34 /students_home/old_students/cs20131657/.vscode-server/extensions/ms-vscode.cpptools-0.28.2/bin/cpptools-srv 20836 53
cs20131+ 18291     1  0  2020 ?        00:11:30 /students_home/old_students/cs20131657/.vscode-server/extensions/ms-vscode.cpptools-0.28.2/bin/cpptools-srv 20836 51
